lat,lon,elevacao_m
-22.9383839,-49.4345929,
-23.0696725,-48.1734071,
-23.1905456,-47.8319196,
-23.5917876,-47.8291445,
-23.1773854,-46.449515,
-22.9439831,-49.6561244,
-23.098934,-46.438797,
-23.1714252,-46.4449568,
-22.565973,-46.5289482,
-21.92688,-50.7122758,
-22.9390224,-46.2349819,
-22.5855377,-46.5094836,
-23.4209744,-47.7059117,
-21.7905502,-50.7999653,
-22.7367549,-46.5513527,
-21.6843372,-51.0523772,
-22.6194752,-46.5331315,
-22.6140494,-46.5253025,
-19.9262757,-50.073199,
-22.7834663,-46.442665,
-23.4681257,-47.6937271,
-22.73394,-46.5635742,
-22.6155955,-46.5227091,
-23.477313,-47.6909011,
-22.797989,-46.5598535,
-22.7781203,-46.5648342,
-23.2050882,-48.9939189,
-22.9005259,-46.3782424,
-23.1730414,-46.3784856,
-22.7920244,-46.573743,
-23.1854124,-48.9682029,
-22.745953,-46.5996276,
-23.4217738,-47.7166723,
-22.8681495,-49.2379991,
-22.5989263,-49.6330225,
-23.2011715,-47.974786,
-23.2478045,-48.3116193,
-23.5901943,-47.8387858,
-22.7715566,-46.591331,
-23.1023437,-48.9793544,
-22.6135014,-46.5309975,
-22.5699307,-46.525083,
-23.0753731,-46.3932407,
-23.4797368,-47.6905133,
-22.7624381,-46.6385228,
-23.0945395,-46.4286204,
-22.7441324,-46.5776758,
-21.9577239,-50.488811,
-21.9451693,-50.5333024,
-23.1927527,-48.2474389,
-23.2202529,-47.9154903,
-23.455898,-47.715298,
-22.7672005,-46.5769399,
-22.343606,-50.3905317,
-23.0952517,-46.4375509,
-22.7520902,-46.6100084,
-23.0915396,-46.4319262,
-23.1900352,-48.2451676,
-22.8435692,-49.2254442,
-22.6192943,-50.3991889,
-23.0792197,-46.4218456,
-23.1930809,-48.2506285,
-22.7489686,-46.5611536,
-23.1078052,-48.9557017,
-23.2577526,-48.9953085,
-22.7947124,-46.5724863,
-23.2170199,-49.1005908,
-22.7995431,-46.4450082,
-23.4067636,-47.6873452,
-22.8841337,-49.1642693,
-23.0954886,-46.4306962,
-20.1652564,-51.0130609,
-22.6158755,-46.5214616,
-23.0900479,-46.4310287,
-23.2174601,-47.917001,
-22.7841424,-46.5863716,
-23.2287621,-49.0980278,
-22.7484243,-46.608823,
-22.939383,-49.6508049,
-23.1308917,-49.442841,
-23.1826131,-46.3691616,
-23.4932078,-47.7190712,
-23.0522198,-46.3391168,
-23.2116573,-49.1389382,
-23.1767392,-46.4487549,
-23.205995,-49.1423664,
-22.9114093,-46.4281901,
-23.5396856,-47.766921,
-22.7757122,-46.5635923,
-23.4569363,-47.7165697,
-22.7528977,-46.5694917,
-23.0989451,-46.4342393,
-22.2509497,-50.7049166,
-23.151143,-46.4087909,
-22.6239613,-46.5346538,
-22.7496275,-46.5709455,
-20.1792196,-51.0074027,
-22.745899,-46.5637313,
-23.5900005,-47.8238193,
-23.2291987,-47.9652373,
-23.0835733,-46.407745,
-23.0995734,-46.4314226,
-22.7388075,-46.5551881,
-23.2179979,-47.9105139,
-22.7903192,-46.5610752,
-22.7976931,-46.5580212,
-22.7611619,-46.570253,
-22.5696972,-46.52188,
-23.1175123,-48.2583995,
-22.7611184,-46.574362,
-23.4553293,-47.718385,
-22.8195706,-46.5127632,
-23.3983838,-47.6994891,
-22.7876274,-46.601433,
-22.7391616,-46.5636512,
